% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 14:09
% Dimension:          1
% Nodes:              241
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
-0.015000000000000013     1.0776133447338122E-5    1.0689685369250572E-5    1.0585390143449253E-5    9.837594245924143E-6     9.051348236269473E-6     5.576215476728812E-6     3.797084862432614E-6     1.0865527451141429E-6    5.762537758856976E-7     1.2134522155679649E-7
-0.009999999999999953     1.199000135623134E-5     1.189495251478422E-5     1.1780342789157139E-5    1.095688968210588E-5     1.0086912410334828E-5    6.2107477235260135E-6    4.220965895885234E-6     1.2015606536532625E-6    6.363518101265E-7        1.3380507357056475E-7
-0.0050000000000000044    1.3187394285083687E-5    1.3085710419690873E-5    1.2963141151797283E-5    1.2079323106978883E-5    1.1138228163818724E-5    6.881574978246639E-6     4.6758620019802264E-6    1.3273721148673963E-6    7.02322869170903E-7      1.4752609192787087E-7
0                         1.433080936130664E-5     1.4225164977041482E-5    1.4097843112222218E-5    1.3175011612061312E-5    1.2181459045401482E-5    7.583794629000549E-6     5.1613147391708764E-6    1.4648478187649954E-6    7.747021923319955E-7     1.6263444852142264E-7
0.0050000000000000044     1.5382999102574205E-5    1.527658273928172E-5     1.5148340015645952E-5    1.4212639914060682E-5    1.3190639657683125E-5    8.311092496629243E-6     5.676301823137449E-6     1.6148906589694567E-6    8.540668615281976E-7     1.792686401243368E-7
0.009999999999999953      1.6310474058406315E-5    1.6206693767490112E-5    1.608163905471166E-5     1.5161892789866515E-5    1.4139321716182396E-5    9.055760969170324E-6     6.21916340176881E-6      1.7784416900396534E-6    9.410375028794078E-7     1.975806268366434E-7
0.015000000000000013      1.7086708695590462E-5    1.6988848799562938E-5    1.6870958512873896E-5    1.59960019197216E-5      1.5002465430338758E-5    9.808793237165894E-6     6.7875349665132205E-6    1.956474310753539E-6     1.0362796737123723E-6    2.1773706148691424E-7
0.020000000000000018      1.7694459671427533E-5    1.7605355654361157E-5    1.7498080754059124E-5    1.6694013676855916E-5    1.57583414594145E-5      1.0560062902953253E-5    7.378291931374525E-6     2.1499863344518755E-6    1.1405048191259033E-6    2.3992061403077514E-7
0.024999999999999967      1.8126802328812125E-5    1.804859575749011E-5     1.7954559963819912E-5    1.7242411233467216E-5    1.6390179393000706E-5    1.1298592767602057E-5    7.987511692597495E-6     2.3599895754410495E-6    1.254470658853264E-6     2.643313943389043E-7
0.030000000000000027      1.8386796167515667E-5    1.8320807890407138E-5    1.8241645369468875E-5    1.7635844752025316E-5    1.6887324751402747E-5    1.2012909214175326E-5    8.610459535733107E-6     2.5874965542944496E-6    1.378980838750914E-6     2.9118847584612416E-7
0.03500000000000003       1.848599433972985E-5     1.84327219231515E-5      1.8369064848022615E-5    1.7876904601732337E-5    1.7245746428368393E-5    1.2691469762569145E-5    9.241604931613721E-6     2.8335039087909986E-6    1.5148836519157982E-6    3.2073152127474895E-7
0.03999999999999998       1.8442217443823012E-5    1.8401434296176443E-5    1.8353025901571573E-5    1.7975059877714637E-5    1.7467851763554427E-5    1.33231419275436E-5      9.874674392598092E-6     3.0989720964987003E-6    1.6630696024689901E-6    3.5322250997257136E-7
0.044999999999999984      1.827707252862372E-5     1.8247989972208505E-5    1.821387774307435E-5     1.794502405819749E-5     1.7561687004176045E-5    1.3897702700565697E-5    1.0502745983871603E-5    3.3848009962295565E-6    1.8244675510143898E-6    3.8894756422790777E-7
0.04999999999999993       1.801363027147201E-5     1.7995081715894315E-5    1.797384119269272E-5     1.7804869223458603E-5    1.7539695855172064E-5    1.4406321273611261E-5    1.1118388674155771E-5    3.6918010667526347E-6    2.0000391456518837E-6    4.282188691332894E-7
0.05499999999999999       1.767453170565433E-5     1.7665146301308915E-5    1.7655094827913977E-5    1.757418857666732E-5     1.741725711262753E-5     1.4841984511600701E-5    1.171384690942157E-5     4.020659811506688E-6     2.190771207673898E-6     4.713766770421766E-7
0.06                      1.7280641446365205E-5    1.7278987267994234E-5    1.727836198926073E-5     1.7272528063493587E-5    1.7211219101794974E-5    1.5199826328584701E-5    1.228126715760238E-5     4.371903437878377E-6     2.397665708840124E-6     5.187913832545077E-7
0.06500000000000006       1.6850239858543427E-5    1.685492879984199E-5     1.6862018139824023E-5    1.6918206373377625E-5    1.6938604218772203E-5    1.5477329047570374E-5    1.2812958907138787E-5    4.745853799678682E-6     2.621726950361992E-6     5.708656541137397E-7
