% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 13:55
% Dimension:          1
% Nodes:              121
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
0.09000000000000002       2.2622824203463415E-5    2.269429761650133E-5     2.2783763270713223E-5    2.3464284336827518E-5    2.4165164711390604E-5    2.453640805185604E-5     2.0851414043318037E-5    7.732050183369252E-6     4.2536143999072405E-6    9.217820427967869E-7
0.09999999999999998       2.1385616825586945E-5    2.1457261542084212E-5    2.1546697718503683E-5    2.2237342597526887E-5    2.299388121191473E-5     2.4699252579654056E-5    2.2149095887106924E-5    9.040258032545981E-6     5.064514714208989E-6     1.1151313058652061E-6
0.10999999999999999       2.028174925098432E-5     2.0351069205865033E-5    2.0437402567847568E-5    2.110896067721355E-5     2.1871038808175726E-5    2.450836331359156E-5     2.3125859013540695E-5    1.0489130182054272E-5    6.004368217897056E-6     1.3477845904951397E-6
0.12                      1.9303933871488293E-5    1.936962252852346E-5     1.9451271081108553E-5    2.0088211223774255E-5    2.0826209014782316E-5    2.4036605270471833E-5    2.3745512312664514E-5    1.2063256730702755E-5    7.082962929458666E-6     1.6271602406822669E-6
0.12999999999999995       1.843960451905183E-5     1.8501080400063012E-5    1.857736451437481E-5     1.9172638588813656E-5    1.9870733237742385E-5    2.3366113715971053E-5    2.4004658993441317E-5    1.3734336410257308E-5    8.306108749547016E-6     1.9618112208027844E-6
0.14                      1.7674668091218382E-5    1.7731776672125177E-5    1.7802542275381178E-5    1.8354118632039126E-5    1.900520482159403E-5     2.2574652322009676E-5    2.393230356487102E-5     1.545944919308849E-5     9.673394586505165E-6     2.3614722316093406E-6
0.14999999999999997       1.6995446193513956E-5    1.704827473893477E-5     1.7113660858902585E-5    1.7622329675591078E-5    1.8224536623268408E-5    2.172666647714472E-5     2.3582810046176375E-5    1.718095529205506E-5     1.1175592981717876E-5    2.8370394561323287E-6
0.16000000000000003       1.638955858569143E-5     1.6438323597795082E-5    1.6498622444643876E-5    1.6966654568638543E-5    1.7521092200360523E-5    2.0869825899542708E-5    2.3024450643423706E-5    1.8828895236157297E-5    1.2791986258056359E-5    3.4004429850840977E-6
0.16999999999999998       1.5846223888457087E-5    1.5891203859455962E-5    1.5946778261620696E-5    1.6377128705960734E-5    1.688648322992958E-5     2.0035825170837713E-5    2.232720424774028E-5     2.0326503104407972E-5    1.4488107296402632E-5    4.0643588517789505E-6
0.18                      1.535626065877923E-5     1.5397756607183916E-5    1.5448992292082678E-5    1.5844840921164983E-5    1.631252517010164E-5     1.9243434106802014E-5    2.1553180737031463E-5    2.1598759949161348E-5    1.6214618435906063E-5    4.841694026909087E-6
0.19                      1.4911949756301406E-5    1.495026262969394E-5     1.4997541411393486E-5    1.5362038036083787E-5    1.579169267997251E-5     1.8502091369052003E-5    2.0751391895316886E-5    2.2582854641827325E-5    1.7908202325811245E-5    5.744766832691952E-6
0.19999999999999996       1.4506845426970375E-5    1.4542263672688244E-5    1.4585949072149399E-5    1.4922080277066962E-5    1.5317292492005692E-5    1.7815066238566117E-5    1.9956667872925028E-5    2.3238304910123327E-5    1.949526852998251E-5     6.784102805283303E-6
0.21000000000000002       1.413557999243754E-5     1.4168373217097036E-5    1.4208803413374515E-5    1.4519330518673844E-5    1.4883485295139294E-5    1.718185159699298E-5     1.9191327153299263E-5    2.355389185947045E-5     2.089884118476179E-5     7.966781315009818E-6
0.22000000000000003       1.379368322029638E-5     1.3824099461874343E-5    1.3861584517771643E-5    1.414902211062644E-5     1.4485233063866737E-5    1.659981380593705E-5     1.8468019311542603E-5    2.3549033332955646E-5    2.204812660138209E-5     9.294314206399659E-6
0.23000000000000004       1.347776369716417E-5     1.3506030823601996E-5    1.3540854943503957E-5    1.3807128034690211E-5    1.4118214694871147E-5    1.6065259588090813E-5    1.779261009645772E-5     2.3268873492070973E-5    2.2889122775675633E-5    1.076012947729322E-5
0.24000000000000005       1.3184560055044026E-5    1.3210896392448508E-5    1.3243331318107942E-5    1.3490551472857361E-5    1.3778733034256815E-5    1.5574091918235915E-5    1.7166560687184745E-5    2.27745733829284E-5      2.3393668758939825E-5    1.2346882846085378E-5
